600954,TLE,Add new tag HIL_TAG_ECM_ENI_BUS_STATE  ,"<p>Until mid August</p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p>Define tag ID</p>\r\n\r\n<p>#define HIL_TAG_ECM_ENI_BUS_STATE &nbsp;&lt;tbd&gt;</p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p>typedef struct</p>\r\n\r\n<p>{</p>\r\n\r\n<p>&nbsp; /* <span style=""background:yellow;"">Target bus state for ENI files on ChannelInit</span> */</p>\r\n\r\n<p>&nbsp; uint32_t ulTargetBusState;</p>\r\n\r\n<p>} HIL_TAG_ECM_ENI_BUS_STATE_DATA_T;</p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p>typedef struct</p>\r\n\r\n<p>{</p>\r\n\r\n<p>&nbsp; HIL_TAG_HEADER_T&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; tHeader;</p>\r\n\r\n<p>&nbsp; HIL_TAG_ECM_ENI_BUS_STATE_DATA_T tData;</p>\r\n\r\n<p>} HIL_TAG_ECM_ENI_BUS_STATE_T;</p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p>#define HIL_TAG_ECM_ENI_BUS_STATE_<span style=""background:yellow;"">OFF 0</span></p>\r\n\r\n<p>#define HIL_TAG_ECM_ENI_BUS_STATE_<span style=""background:yellow;"">ON 1</span></p>\r\n\r\n<p>&nbsp;</p>\r\n",
546102,TLE,"Win 10 after installation, there is only an unselectable folder in the startmenue","<p>Win 10 after installation, there is only an unselectable folder in the startmenue.</p>\r\n\r\n<p>Workarround: After a reboot the links to Documentation and Tag List Editor appear.</p>\r\n",
546005,TLE,Correct program version in the manual,<p>The manual currently refers to V1.2 of the application. Change this to V1.3.</p>\r\n,
546003,TLE,Correct program menu link to manual ,<p>Correct the file name of the manual (PDF) in the installer:</p>\r\n\r\n<p>- name of the installed file</p>\r\n\r\n<p>- name of the manual file in the program menu link</p>\r\n\r\n<p>&nbsp;</p>\r\n,
524365,TLE,Desktop shortcut is installed for admin user,"<p>If you install the program as a standard user, the installer is elevated to run as an administrator user. The desktop link to run the tag list editor is installed for the admin user instead of the actual user.</p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p>&nbsp;</p>\r\n",
524364,TLE,Number input fields may allow you to input values that are not valid for the field,"<p>Due to the input/input checking method used in number fields, it must be possible to temporarily erase the field or enter a 0 into it.</p>\r\n\r\n<p>If the smallest allowed value of a field according to the definition of the tag is larger than 0, the minimal value in the tag list editor is set to 0.</p>\r\n\r\n<p>Example: if a parameter has an allowed range from 3 to 10, it is possible to input values between 0 and 10.</p>\r\n\r\n<p>However, the info page to the tag gives the actual allowed range.</p>\r\n\r\n<p>This deviation (minValue = 0) is also represented in the JSON file.</p>\r\n\r\n<p>&nbsp;</p>\r\n",
524363,TLE,Windows 10 has only one sub level inside start menu,"<p>Windows 10 start menu has no hierarchy view, therefore the sub menu entries combined together into a single category</p>\r\n",
503587,TLE,Tag \xe2\x80\x9eservX TCP Port Number\xe2\x80\x9c Text erg\xc3\xa4nzen,<p>Beim Tag \xe2\x80\x9eservX TCP Port Number\xe2\x80\x9c den bestehenden Text erg\xc3\xa4nzen um</p>\r\n\r\n<p>\xe2\x80\x9eIf the port is set to 0 the web server will be deactivated by the firmware.\xe2\x80\x9d</p>\r\n\r\n<p>&nbsp;</p>\r\n,
467460,TLE,Add Tag TAG_DPM_Behaviour,"RCX_TAG_DPM_BEHAVIOUR 0x00001062\n4 bytes\nThe first byte is a switch for ""COM State Legacy Mode"" (0 = off, 1 = on)\nThe other 3 bytes are reserved.\n\nWill be implemented in 1.2.0.2",
131835,TLE,add TAG_TCP_PORT_NUMBERS,added TAG_TCP_PORT_NUMBERS 0x30019000,
